slug,title,publisher,genre,format,status,amazonQuery,coverImage
one-piece,One Piece,viz,Action|Adventure,both,ongoing,One Piece manga volume,https://dw9to29mmj727.cloudfront.net/products/197471652X.jpg
chainsaw-man,Chainsaw Man,viz,Action|Horror,both,ongoing,Chainsaw Man manga volume,
kaiju-no-8,Kaiju No. 8,viz,Action|Sci-Fi,both,ongoing,Kaiju No 8 manga volume,
spy-x-family,Spy x Family,viz,Comedy|Action,both,ongoing,Spy x Family manga volume,
dandadan,Dandadan,viz,Comedy|Supernatural,both,ongoing,Dandadan manga volume,
sakamoto-days,Sakamoto Days,viz,Action|Comedy,both,ongoing,Sakamoto Days manga volume,
blue-box,Blue Box,viz,Romance|Sports,both,ongoing,Blue Box manga volume,
kagurabachi,Kagurabachi,viz,Action|Fantasy,both,ongoing,Kagurabachi manga volume,
vinland-saga,Vinland Saga,kodansha,Action|Historical,both,ongoing,Vinland Saga manga volume,
blue-lock,Blue Lock,kodansha,Sports,both,ongoing,Blue Lock manga volume,https://production.image.azuki.co/214d54a4-7fa2-47d6-9c04-acb186a8edf4/800.webp
frieren,Frieren: Beyond Journey's End,kodansha,Fantasy|Drama,both,ongoing,Frieren Beyond Journeys End manga volume,
wind-breaker,Wind Breaker,kodansha,Action|School,both,ongoing,Wind Breaker manga volume,https://production.image.azuki.co/eaa9b3ff-cccb-4788-885c-6d814447c657/800.webp
witch-hat-atelier,Witch Hat Atelier,kodansha,Fantasy,both,ongoing,Witch Hat Atelier manga volume,
akane-banashi,Akane-banashi,kodansha,Drama,both,ongoing,Akane-banashi manga volume,
oshi-no-ko,Oshi no Ko,yen-press,Drama|Showbiz,both,ongoing,Oshi no Ko manga volume,
made-in-abyss,Made in Abyss,yen-press,Adventure|Fantasy,both,ongoing,Made in Abyss manga volume,
the-fable,The Fable,yen-press,Crime|Drama,both,ongoing,The Fable manga volume,
uzaki-chan,Uzaki-chan Wants to Hang Out!,yen-press,Comedy,both,ongoing,Uzaki-chan Wants to Hang Out manga volume,
mushoku-tensei,Mushoku Tensei: Jobless Reincarnation,seven-seas,Fantasy|Isekai,both,ongoing,Mushoku Tensei manga volume,
tensei-slime,That Time I Got Reincarnated as a Slime,seven-seas,Fantasy|Isekai,both,ongoing,That Time I Got Reincarnated as a Slime manga volume,https://production.image.azuki.co/e862471b-7466-4fdc-9146-fb919085aecd/800.webp
villainess,My Next Life as a Villainess,seven-seas,Comedy|Isekai,both,ongoing,My Next Life as a Villainess manga volume,
classroom-elite,Classroom of the Elite,seven-seas,Drama|School,both,ongoing,Classroom of the Elite manga volume,
apothecary-diaries,The Apothecary Diaries,square-enix,Mystery|Historical,both,ongoing,The Apothecary Diaries manga volume,https://fyre.cdn.sewest.net/manga-books/610a98295098f700127db932/cover_img_247x350_theapothecarydiaries_01_coverfinal-ojQWEpum9.jpg
dress-up-darling,My Dress-Up Darling,square-enix,Romance,both,ongoing,My Dress-Up Darling manga volume,https://fyre.cdn.sewest.net/manga-books/610a98293b7287001317db44/cover-img-247x350-my-dress-up-darling-01-cover-final-re-76111013720733822.jpg
shangri-la-frontier,Shangri-La Frontier,square-enix,Action|Game,both,ongoing,Shangri-La Frontier manga volume,https://production.image.azuki.co/7f6f9447-2522-44e1-a255-a60121b9acaf/800.webp
yotsuba,Yotsuba&!,square-enix,Slice of Life|Comedy,both,ongoing,Yotsuba manga volume,
my-hero-academia-team-up-missions,My Hero Academia: Team-Up Missions,viz,Action|Comedy,both,ongoing,My Hero Academia Team-Up Missions manga volume,https://dw9to29mmj727.cloudfront.net/products/1974765784.jpg
yona-of-the-dawn,Yona of the Dawn,viz,Action|Romance,both,ongoing,Yona of the Dawn manga volume,https://dw9to29mmj727.cloudfront.net/products/1974716716.jpg
case-closed,Case Closed,viz,Mystery|Action,both,ongoing,Case Closed manga volume,https://dw9to29mmj727.cloudfront.net/products/1974765091.jpg
kingdom,Kingdom,viz,Action|Historical,both,ongoing,Kingdom manga volume,https://dw9to29mmj727.cloudfront.net/products/1974761371.jpg
moriarty-the-patriot,Moriarty the Patriot,viz,Mystery|Drama,both,ongoing,Moriarty the Patriot manga volume,https://dw9to29mmj727.cloudfront.net/products/1974765776.jpg
record-of-ragnarok,Record of Ragnarok,viz,Action|Fantasy,both,ongoing,Record of Ragnarok manga volume,https://dw9to29mmj727.cloudfront.net/products/1974765075.jpg
rooster-fighter,Rooster Fighter,viz,Action|Comedy,both,ongoing,Rooster Fighter manga volume,https://dw9to29mmj727.cloudfront.net/products/1974716813.jpg
jojo-s-bizarre-adventure-part-7-steel-ball-run,JoJo's Bizarre Adventure: Part 7--Steel Ball Run,viz,Action|Adventure,both,ongoing,JoJo's Bizarre Adventure Part 7 Steel Ball Run manga volume,https://dw9to29mmj727.cloudfront.net/products/197476494X.jpg
snow-white-with-the-red-hair,Snow White with the Red Hair,viz,Romance|Fantasy,both,ongoing,Snow White with the Red Hair manga volume,https://dw9to29mmj727.cloudfront.net/products/1974765695.jpg
the-king-s-beast,The King's Beast,viz,Fantasy|Action,both,ongoing,The King's Beast manga volume,https://dw9to29mmj727.cloudfront.net/products/1974765857.jpg
rent-a-girlfriend,Rent-A-Girlfriend,kodansha,Romance|Comedy,both,ongoing,Rent-A-Girlfriend manga volume,https://production.image.azuki.co/713f669b-b546-4cfd-918d-f3d6376fc6aa/800.webp
gachiakuta,Gachiakuta,kodansha,Action|Fantasy,both,ongoing,Gachiakuta manga volume,https://production.image.azuki.co/3c31aa82-6138-4dc1-957c-3ae704c11515/800.webp
the-seven-deadly-sins-four-knights-of-the-apocalypse,The Seven Deadly Sins: Four Knights of the Apocalypse,kodansha,Action|Fantasy,both,ongoing,Seven Deadly Sins Four Knights of the Apocalypse manga volume,https://production.image.azuki.co/8c5c4f1c-462c-4906-a835-1e974bf5fde1/800.webp
mf-ghost,MF Ghost,kodansha,Sports|Action,both,ongoing,MF Ghost manga volume,https://production.image.azuki.co/fd3a4f9c-88be-40c1-a8f1-b4bda2e4714c/800.webp
ya-boy-kongming,Ya Boy Kongming!,kodansha,Comedy|Drama,both,ongoing,Ya Boy Kongming manga volume,https://production.image.azuki.co/0d2ad6ae-d790-4ac0-9f17-39baf8843ac4/800.webp
the-caf-terrace-and-its-goddesses,The Caf� Terrace and Its Goddesses,kodansha,Romance|Comedy,both,ongoing,The Cafe Terrace and Its Goddesses manga volume,https://production.image.azuki.co/b4fd9b54-a30a-41f1-b6bc-7ccb1e40acd2/800.webp
a-couple-of-cuckoos,A Couple of Cuckoos,kodansha,Comedy|Romance,both,ongoing,A Couple of Cuckoos manga volume,https://production.image.azuki.co/9ab0fe42-20c5-4176-bf3e-df23d35cd0da/800.webp
cells-at-work-lady,Cells at Work! Lady,kodansha,Comedy|Drama,both,ongoing,Cells at Work Lady manga volume,https://production.image.azuki.co/05edfdb4-ee1e-42c3-b36b-c650055410a5/800.webp
welcome-to-demon-school-iruma-kun,Welcome to Demon School! Iruma-kun,kodansha,Comedy|Fantasy,both,ongoing,Welcome to Demon School Iruma-kun manga volume,https://production.image.azuki.co/b80d2b33-44f8-415e-a246-b63808245e2d/800.webp
medalist,Medalist,kodansha,Sports|Drama,both,ongoing,Medalist manga volume,https://production.image.azuki.co/655d41d9-8a80-45b1-b5d2-06ca323474ea/800.webp
giant-killing,Giant Killing,kodansha,Sports,both,ongoing,Giant Killing manga volume,https://production.image.azuki.co/c7d52fbf-18fe-4c47-8feb-c06c4102d5b0/800.webp
flying-witch,Flying Witch,kodansha,Slice of Life|Fantasy,both,ongoing,Flying Witch manga volume,https://production.image.azuki.co/1d28d207-1224-4df5-bbfe-5e5b42a5db0f/800.webp
i-have-a-crush-at-work,I Have a Crush at Work,kodansha,Romance|Comedy,both,ongoing,I Have a Crush at Work manga volume,https://production.image.azuki.co/6e0ac209-ae1a-4faf-8ac8-b9f6218d7098/800.webp
and-yet-you-are-so-sweet,"And Yet, You Are So Sweet",kodansha,Romance,both,ongoing,And Yet You Are So Sweet manga volume,https://production.image.azuki.co/270deffa-a971-46e4-8ce2-6c76ae36e879/800.webp
toilet-bound-hanako-kun,Toilet-bound Hanako-kun,yen-press,Horror|Fantasy,both,ongoing,Toilet-bound Hanako-kun manga volume,https://images.yenpress.com/imgs/9798855435368.jpg?w=171&h=257&type=books&s=a62741ec0c239261a1b7be6288f34232
the-devil-is-a-part-timer,The Devil Is a Part-Timer!,yen-press,Comedy|Fantasy,both,ongoing,The Devil is a Part-Timer manga volume,https://images.yenpress.com/imgs/9798855433975.jpg?w=171&h=257&type=books&s=8a5ee1213ebe8cc4266978d020298772
bungo-stray-dogs,Bungo Stray Dogs,yen-press,Action|Supernatural,both,ongoing,Bungo Stray Dogs manga volume,https://images.yenpress.com/imgs/9798855437874.jpg?w=171&h=257&type=books&s=aecfd4c45b4a1758e236af4173854aa9
chained-soldier,Chained Soldier,yen-press,Action|Fantasy,both,ongoing,Chained Soldier manga volume,https://images.yenpress.com/imgs/9798855403718.jpg?w=171&h=257&type=books&s=d7ac3bf9885333f11faa46630f744cba
black-summoner,Black Summoner,yen-press,Fantasy|Isekai,both,ongoing,Black Summoner manga volume,https://images.yenpress.com/imgs/9798855425390.jpg?w=171&h=257&type=books&s=5186c78e4d30b7bd6e78a04fff7796db
adachi-and-shimamura,Adachi and Shimamura,yen-press,Romance|Slice of Life,both,ongoing,Adachi and Shimamura manga volume,https://images.yenpress.com/imgs/9798855433937.jpg?w=171&h=257&type=books&v=20260503000007&s=c32102c312f64c016079be32d8f2bb83
in-another-world-with-my-smartphone,In Another World with My Smartphone,yen-press,Fantasy|Isekai,both,ongoing,In Another World with My Smartphone manga volume,https://images.yenpress.com/imgs/9798855424171.jpg?w=171&h=257&type=books&v=20260302160001&s=b3b6b6c59e75f280d8bba848b20bec29
uncle-from-another-world,Uncle from Another World,yen-press,Comedy|Isekai,both,ongoing,Uncle from Another World manga volume,https://images.yenpress.com/imgs/9798855428391.jpg?w=171&h=257&type=books&s=9685672a4dfcd673845e60883b43275a
elden-ring-the-road-to-the-erdtree,Elden Ring: The Road to the Erdtree,yen-press,Action|Fantasy,both,ongoing,Elden Ring The Road to the Erdtree manga volume,https://images.yenpress.com/imgs/9798855437898.jpg?w=171&h=257&type=books&v=20260420050001&s=ecf31ab16631ec12f448588ff250a76c
liar-liar,"Liar, Liar",yen-press,Drama|School,both,ongoing,Liar Liar manga volume,https://images.yenpress.com/imgs/9798855403251.jpg?w=171&h=257&type=books&s=ab432c53cf78f7d995d476df5babbc0d
